"keyword","cluster","intent","product_relevance","journey_stage","availability","status","source_type","source_evidence","demand_proxy","demand_score","competition_score","rustore_relevance","conversion_potential","business_value","strategic_value","winability_score","opportunity_score","tier","target","metadata_placement","notes"
"астрология приложение","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астрологическое приложение","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"цифровой астролог","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"прогноз ИИ","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"ИИ гороскоп","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"AI гороскоп","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"ИИ натальная карта","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"анализ натальной карты ИИ","ИИ и астрология","Получить персональный разбор или ответ от ИИ","9","Monetization","Premium","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","6","7","8","8","8","7","61","73","A","TOP-3","full/visual","Высокая продуктовая близость; цель TOP-3 после проверки фактической позиции и CVR"
"персональная астрология","ИИ и астрология","Получить персональный разбор или ответ от ИИ","8","Acquisition","Mixed","Target","Proxy","Semantic expansion from observed RuStore SERP ИИ астролог — 500 results; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","8","8","8","7","58","69","B","TOP-10","full/visual","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"что меня ждет сегодня","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Retention","Mixed","Experiment","Hypothesis","Natural-language hypothesis; validate after ASOdesk login at https://hq.asodesk.com/stores-analytics/search-explorer?locale=ru","RuStore volume unavailable — proxy: ASOdesk query validation planned; Daily Impressions and Difficulty not accessed; no demo metrics used","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"что меня ждет на этой неделе","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Retention","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"что меня ждет в этом месяце","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Retention","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"какой сегодня день по гороскопу","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Retention","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"что говорит моя натальная карта","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"узнать себя по дате рождения","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"характер по дате рождения","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"личность по дате рождения","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"сильные стороны по дате рождения","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"кто я по натальной карте","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"почему я так реагирую","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"мои таланты по дате рождения","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Monetization","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"что мне подходит по натальной карте","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"как понять натальную карту","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"где построить натальную карту","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"как рассчитать натальную карту","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"мы подходим друг другу","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"совместимость с партнером","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Monetization","Premium","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"прогноз лично для меня","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"гороскоп именно для меня","Пользовательские формулировки","Решить личный вопрос обычными словами","8","Acquisition","Mixed","Experiment","Hypothesis","Natural-language intent hypothesis; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","3","4","5","7","6","5","61","58","C","TOP-10","conversion copy only if natural","Проверяемая формулировка пользователя; тестировать в креативе или описании без keyword stuffing"
"лунный календарь","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"фазы луны","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"луна сегодня","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"ретроградный меркурий","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"ретроградные планеты","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"календарь ретроградов","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"когда ретроградный меркурий","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"астрологический календарь","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"лунный день сегодня","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Retention","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"текущая фаза луны","Луна и ретрограды","Проверить астрологический календарный ориентир","6","Acquisition","Free","Target","Proxy","Semantic expansion from observed RuStore SERP observed competitor metadata in RuStore; exact variant rank not measured","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","5","7","7","6","4","4","48","52","B","TOP-10","full only if surfaced in release","Расширяет качественное ядро; покрывать кластером и естественной морфологией без дословного перечисления"
"матрица судьбы","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Evidence","RuStore SERP 2026-08-26: 500 results with many exact-title matrix apps; MEOU feature absent","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"рассчитать матрицу судьбы","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"расчет матрицы судьбы","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"матрица судьбы онлайн","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"матрица судьбы бесплатно","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"матрица судьбы по дате рождения","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"расшифровка матрицы судьбы","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"совместимость по матрице судьбы","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"предназначение по матрице судьбы","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"код судьбы по дате рождения","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"таро","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Evidence","RuStore SERP 2026-08-26 matrix and natal clusters: tarot appears in competitor titles; MEOU feature absent","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"расклад таро","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"карты таро онлайн","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"таро на сегодня","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"таролог онлайн","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","8","8","6","1","0","1","0","25","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"нумерология","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Evidence","RuStore SERP 2026-08-26 compatibility and matrix clusters: numerology titles are present; MEOU feature absent","RuStore volume unavailable — proxy: exact SERP evidence and title saturation; result count is not search volume","7","8","6","1","0","1","0","24","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"нумерология по дате рождения","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Proxy","RuStore adjacent SERPs show a mature competing cluster; exact query not checked unless separately noted","RuStore volume unavailable — proxy: observed RuStore cluster and competitor metadata; exact frequency unknown","7","8","6","1","0","1","0","24","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"число судьбы","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"психоматрица","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","7","8","6","1","0","1","0","24","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"квадрат пифагора","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","7","8","6","1","0","1","0","24","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"сонник","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"толкование снов","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"гадание онлайн","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"гороскоп на завтра","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","1","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","24","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"гороскоп на год","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","1","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","24","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"детская натальная карта","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"живой астролог онлайн","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
"консультация профессионального астролога","Отрицательная и смежная семантика","Ищет отсутствующую в MEOU функцию","0","Monitoring","Absent","Negative","Hypothesis","Adjacent-demand monitoring term; exact RuStore rank and demand not measured","RuStore volume unavailable — proxy: natural-language hypothesis pending rank and demand validation","6","8","6","1","0","1","0","22","NEGATIVE","Ignore","не использовать","Функции нет: только мониторинг смежного спроса; не обещать и не включать в metadata"
